timestamp,speaker,words,tags,highlight,timelink
,Devin Becker:,"Let's make this kind of official. Would you please state your name, your date of birth, and the location where we are for the camera?",,,
,Robert Wrigley:,"I am Robert Wrigley. I was born February 27, 1951. We are sitting in my little studio building, which is called ""Stanza,"" one of the two Italian words&#8212;the lesser Italian word&#8212;for ""room,"" on Moscow Mountain, not far...well, 6 miles north of Moscow, Idaho.",,,
,DB:,And how long have you been writing in this spot?,,,
,RW:,"I built this building in 2002. So, 11 years in this space.",,,
,DB:,"So, here are the sort of quick and dirty questions. What genres do you work in?",,,
,RW:,"Poetry almost exclusively. Every now and then I'm sort forced to commit prose, like a craft lecture or something, and I've got a bunch of those that some day, people keep telling me, I should make a book out of. But mostly I'm just not interested. I'd rather write poems.",,,
,DB:,What kind of devices do you own or have access to for your writing?,,,
,RW:,Meaning electronic devices?,,,
,DB:,Either or.,,,
,RW:,"Most fundamentally, of course, is the computer. I have one laptop. That's my private computer, which sometimes I compose on. Always I compose prose on the computer. I can't imagine being a prose writer and writing in long hand, but some people do. Beyond that, I have pencils and pens and note books.",,,
,DB:,"Okay. What's your operating system, what type of device do you use?",,,
,RW:,"I have a Mac. What is it, a Macbook Air? And I no longer have an external hard drive. Back when I had a PC I had an external hard drive where I backed up everything from the hard drive of the computer onto an external drive. Now, I put things into the cloud, the iCloud. I back stuff up on Mozy just to keep track. Theoretically, at least, I've never had to go retrieve anything. But, theoretically, it's ""safe"" out there.",,,
,DB:,"Yeah, that is definitely some of the questions. Do you work on a device at the university at all or is it just the one device? Do you ever move things from one device to the other?",,,
,RW:,"No. I try to keep what I write&#8212;the poems themselves&#8212;away from university machines, just because the university owns the machine and I really don't want anything that I own on that university machine.",,,
[00:02:53],DB:,How do you save your pre-writing or your notes?,,,173
,RW:,"I print off a lot of things. There's a pile of drafts back here that in fact need to be moved to a box, but I haven't brought the new box up from the house. Usually, a box will take two years to fill and then it goes into storage in the basement until somebody offers me enough money for it. And then they can have all the boxes.",future,,
,DB:,All the boxes. Do you save the drafts of your individual works as you go along or do you save it as one poem or do you put them all together or do you save over?,future,,
,RW:,"I don't put them all together. It seems to me that it would probably be a good idea to do something like that, and if I were to do something like that, if someone comes along and wants my papers, they would be a lot happier if I had them organized in some way. But basically, the pile&#8212;which is not very evenly stacked&#8212;is pretty much the way they go into the box. So I will work on a poem, print off a draft, put a date on it and the number. I'm just pulling the one off the top&#8212;this is a little draft of a poem called ""Goodbye to the River"" which I have no memory of. But this draft was composed on the 15th of October 2013, and it's draft number two. So, I do have a sort of&#8212;",future,,
,DB:,So you do have a system.,future,,
,RW:,"I do have a system. And I suppose if someone were really interested and would go through the boxes, which ultimately have a year on them&#8212;or a period of years on them if it takes me awhile to fill one&#8212;someone could go through and actually find the poems under certain title and put them in order, in the order in which they came into being. Although sometimes I change tittles, so I don't know what that does to the&#8212;",future,,
,DB:,The poor future researcher that has to&#8212;,future,,
,RW:,"Well, it will keep said researcher, should he or she ever exist, busy.",future,,
,DB:,Yes.,future,,
,RW:,Well through tenure.,future,,
